City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
199,Indianola,US,72.09,overcast clouds,41.3581,-93.5574,Quality Inn Indianola
203,Port Blair,IN,78.49,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
205,Sinnamary,GF,83.55,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
208,Richards Bay,ZA,71.33,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
209,Portel,BR,88.03,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
211,Guthrie,US,73.63,overcast clouds,35.8789,-97.4253,"Holiday Inn Express & Suites Guthrie North Edmond, an IHG Hotel"
213,Samarai,PG,81.09,broken clouds,-10.6167,150.6667,Nuli Sapi
216,Amuntai,ID,74.61,broken clouds,-2.4177,115.2494,Hotel Balqis
217,Nisia Floresta,BR,83.21,light rain,-6.0911,-35.2086,Rancho Crepusculo
221,Manaure,CO,86.81,overcast clouds,11.7751,-72.4445,Hotel Palaaima
222,Bud,US,72.48,clear sky,39.447,-86.1758,Ted McQuinn Trust
224,Mecca,SA,77.05,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
227,Dhidhdhoo,MV,81.82,overcast clouds,6.8833,73.1,Dhidhoo beach
228,Omboue,GA,76.42,overcast clouds,-1.5746,9.2618,Hotel Olako
233,Kavaratti,IN,82.35,broken clouds,10.5669,72.642,Green leaf
235,Sao Filipe,CV,82.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
236,Hamilton,US,73.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
240,Itarema,BR,83.21,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
241,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
242,Belmonte,BR,72.14,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
246,Kalmunai,LK,78.76,light rain,7.4167,81.8167,VS Villa
247,Sibolga,ID,75.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
251,Saint-Philippe,RE,72.99,overcast clouds,-21.3585,55.7679,Le four à pain
253,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
258,Ascension,US,85.19,clear sky,30.2169,-90.9001,Highland Inn
