City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
79,Busselton,-33.65,115.3333,57.51,90,9,8.32,AU,clear sky
80,Evensk,61.95,159.2333,5.0,73,100,11.52,RU,overcast clouds
81,Hofn,64.2539,-15.2082,43.57,67,100,16.69,IS,overcast clouds
82,Okha,53.5739,142.9478,29.64,60,38,8.5,RU,scattered clouds
83,Pitimbu,-7.4706,-34.8086,82.99,70,29,12.62,BR,scattered clouds
84,Port Lincoln,-34.7333,135.8667,52.52,77,0,5.48,AU,clear sky
85,Barrow,71.2906,-156.7887,10.42,85,100,8.05,US,overcast clouds
86,Chambersburg,39.9376,-77.6611,70.77,30,0,1.99,US,clear sky
87,Saldanha,-33.0117,17.9442,62.26,89,12,3.87,ZA,few clouds
88,Kapaa,22.0752,-159.319,81.1,79,40,14.97,US,scattered clouds
89,Santa Cruz Del Sur,20.7147,-77.9956,84.43,68,34,14.2,CU,moderate rain
90,Lata,40.1629,-8.3327,60.93,98,100,2.42,PT,overcast clouds
91,New Norfolk,-42.7826,147.0587,45.9,63,12,3.0,AU,few clouds
92,Abashiri,44.0213,144.2697,38.01,62,1,11.03,JP,clear sky
93,Cape Town,-33.9258,18.4232,72.01,77,20,13.0,ZA,few clouds
94,Pachora,20.6667,75.35,72.86,42,0,4.79,IN,clear sky
95,Zhmerynka,49.037,28.112,42.96,86,5,7.09,UA,clear sky
96,Bethel,41.3712,-73.414,70.65,47,0,5.75,US,clear sky
97,Arraial Do Cabo,-22.9661,-42.0278,69.66,64,75,10.36,BR,broken clouds
98,Stromness,58.965,-3.296,48.87,77,100,15.01,GB,overcast clouds
99,Nanortalik,60.1432,-45.2371,39.47,77,100,36.62,GL,moderate rain
100,Rikitea,-23.1203,-134.9692,69.64,69,100,14.45,PF,overcast clouds
101,Kodiak,57.79,-152.4072,33.31,60,0,17.27,US,clear sky
102,Kabinda,-6.1333,24.4833,69.06,82,100,2.55,CD,overcast clouds
103,Norman Wells,65.282,-126.8329,5.58,87,100,5.55,CA,overcast clouds
104,Westport,41.1415,-73.3579,70.63,60,0,1.99,US,clear sky
105,Lebu,-37.6167,-73.65,60.03,77,35,8.68,CL,scattered clouds
106,Karratha,-20.7377,116.8463,75.42,40,0,10.13,AU,clear sky
107,Anadyr,64.75,177.4833,-2.72,94,100,8.37,RU,overcast clouds
108,Bluff,-46.6,168.3333,48.87,82,100,24.7,NZ,light rain
109,Jacareacanga,-6.2222,-57.7528,90.66,41,90,3.13,BR,overcast clouds
110,Leshukonskoye,64.8989,45.7622,19.47,98,100,1.88,RU,overcast clouds
111,Lhokseumawe,5.1801,97.1507,75.15,92,100,4.76,ID,overcast clouds
112,Santa Ana,33.7456,-117.8678,66.65,36,0,16.11,US,clear sky
113,Husavik,66.0449,-17.3389,38.86,99,100,6.33,IS,overcast clouds
114,Luleburgaz,41.4039,27.3592,56.55,88,24,10.02,TR,few clouds
115,Cidreira,-30.1811,-50.2056,65.73,48,0,11.43,BR,clear sky
116,Pevek,69.7008,170.3133,-15.3,99,43,1.72,RU,scattered clouds
117,Vasai,19.47,72.8,78.89,47,0,6.06,IN,clear sky
118,Puerto Colombia,10.9878,-74.9547,77.09,77,100,4.5,CO,moderate rain
119,Tuatapere,-46.1333,167.6833,46.67,93,100,7.81,NZ,light rain
120,Mbini,1.574,9.6134,78.35,83,94,5.61,GQ,overcast clouds
121,Pionerskiy,54.9508,20.2275,42.75,83,0,10.89,RU,clear sky
122,Beipiao,41.7919,120.7792,30.15,31,0,4.65,CN,clear sky
123,Caxito,-8.5785,13.6643,77.36,87,94,5.06,AO,light rain
124,Zhanaozen,43.3,52.8,45.48,78,19,10.89,KZ,few clouds
125,Torbay,47.6666,-52.7314,39.27,70,100,3.0,CA,overcast clouds
126,Dingle,10.9995,122.6711,75.7,94,87,5.48,PH,overcast clouds
127,Victoria,22.2855,114.1577,73.26,95,100,8.99,HK,overcast clouds
128,Butaritari,3.0707,172.7902,79.9,70,40,11.05,KI,scattered clouds
129,Paamiut,61.994,-49.6678,35.96,86,100,10.87,GL,light rain
